,id_recipe,Step_Count,Step Description
22,6597012,3,Remove tea bags and stir tea into brandy mixture. Freeze 8 hours to overnight.
23,6597012,4,"To serve, scoop desired amount into a glass. Fill the glass with lemon-lime soda; stir."
24,6600437,1,Scoop lime sherbet into a punch bowl; pour in ginger ale and pineapple juice. Stir well.
25,6600437,2,Stir in maraschino cherries and float lemon and lime slices in the punch.
26,6739374,1,"Bring water, sugar, and strawberry-flavored gelatin to a boil in a large saucepan; boil for 3 minutes. Stir in pineapple juice, lemon juice, and orange juice."
27,6739374,2,Divide mixture into two separate containers and freeze.
28,6739374,3,Combine contents of 1 container frozen juice mixture with 1 bottle lemon-lime flavored carbonated beverage in a punch bowl; stir until slushy. Repeat with remaining portions as needed.
29,6603490,1,"Combine ice cream, milk, rum, coffee liqueur, and vodka in a large punch bowl; whisk until frothy and liquified."
30,6603490,2,Ladle into punch glasses and garnish with nutmeg.
31,6737900,1,"Dissolve sugar in tap water in a large pitcher. Add orange slices, lime slices, and wine. Stir in ice cubes until cold. Top with sparkling water. Serve in red-wine glasses, with fresh berries in each glass.lutzflcat"
32,6738712,1,"In a large punch bowl, stir together the drink mix, lemon-lime soda, and white cranberry juice. Taste, and stir in sugar to your liking. (I like to add the whole cup.) Float scoops of ice cream on the top. The ice cream melts somewhat and turns the punch a beautiful baby blue color with frothy white clouds floating on the top."
33,6663657,1,"Stir Moscato wine, lemon-lime soda, brandy, peach schnapps, peaches, strawberries, mangos, pineapple chunks, and raspberries together in a large container and chill 8 hours or overnight."
34,6586573,1,"In a punch bowl, combine orange juice, water and pineapple juice; chill. Stir in ginger ale just before serving."
35,6573667,1,Place sherbet and frozen orange juice concentrate in a punch bowl. Allow to thaw for 10 to 15 minutes. Stir in ginger ale.
36,6738661,1,Place 9 cups of watermelon cubes in a blender; blend on high until very smooth. Strain juice through a mesh strainer into a large pitcher.
37,6738661,2,"Pour wine, vodka, triple sec, and simple syrup into the pitcher; stir to combine. Add remaining 3 cups of watermelon cubes, orange sections, blueberries, and lime quarters; chill sangria for 4 hours before serving."
38,6579671,1,"Combine peach schnapps, cognac, sugar, sliced oranges, and sliced mangos in a pitcher; stir and chill for at least an hour."
39,6579671,2,Pour fruit mixture into a large punch bowl. Stir in chilled white wine and ginger ale. Ladle into glasses with some of the sliced fruit.
40,6737569,1,"In an empty gallon milk jug or pitcher, pour pineapple juice and orange juice concentrate. Shake to mix and pour in the lemon-lime soda. You may need to let the fizz settle and then return to pouring. This will fill up the gallon. Freeze overnight."
41,6737569,2,Let the punch start to thaw 2 hours before serving. Serve slushy.
42,6602345,1,"Mix wine, apple, strawberries, raspberries, cherries, blueberries, blackberries, and brandy together in a pitcher; refrigerate for at least 1 hour. Stir lemon-lime soda into wine mixture."
43,6603529,1,"Stir boiling water, sugar, and instant coffee together in a bowl until dissolved; cool in refrigerator, 30 minutes to overnight."
44,6603529,2,"Pour coffee mixture into a punch bowl; add milk, vanilla ice cream, and chocolate ice cream. Stir until ice cream begins to melt."
45,6574410,1,"In a 2 gallon punch bowl, combine orange juice concentrate, pineapple juice, lemon juice and sugar. Stir in water."
46,6601072,1,"In a 2 quart pitcher, combine the lemon juice, water and sugar. Stir until sugar is dissolved. Chill in refrigerator."
47,6578994,1,Spoon the sorbet into the bottom of a punch bowl. Slowly pour the soda over the sorbet. Use the back of a spoon to soften the sorbet until combined.
48,6564864,1,"In a large punch bowl, combine champagne, ginger ale and strawberries. Gently stir and serve."
49,6561373,1,"Pour the rum, vodka, grain alcohol, cranberry juice, soda, and grape juice into a huge punch bowl or a clean ice chest. Add the strawberries, kiwis, oranges, grapes, and watermelon, and stir to mix."
50,6566356,1,"Combine apple cider, apple brandy, 1/4 cup plus 1 tablespoon brown sugar, honey, cinnamon, ginger, nutmeg, cloves, pepper, and salt in a pot over medium-high heat. Simmer until flavors combine, about 10 minutes."
51,6566356,2,Pour apple cider mixture into heat-proof mugs. Twist orange zest strips between your fingers to release the essential oils; drop 1 into each mug. Add 1 cinnamon stick to each mug.
52,6582397,1,"Stir the strawberries, lemonade concentrate, rose wine, and pineapple juice in a punch bowl until combined. Stir in the ginger ale just before serving."
53,6603062,1,"In a pitcher, combine sugar and tea. Stir until sugar is dissolved. Stir in orange juice, pineapple juice and lemonade. Chill in refrigerator for 4 hours."
54,6603062,2,"Just before serving, pour chilled juice mixture into a punch bowl and stir in ginger ale."
55,6562388,1,"Mix pineapple juice, orange juice, lemonade, and water in a large punch bowl. Stir in ginger ale and lemon-lime soda."
56,6563388,1,"In a slow-cooker or a large pot over low heat, combine apple cider, orange juice and lemon juice. Season with cloves, ginger and nutmeg. Bring to a simmer. If using a slow cooker, allow to simmer all day. Serve hot."
57,6739762,1,"Combine red wine, ice cubes, blueberries, raspberries, strawberries, orange-flavored liqueur, orange juice, and sugar in a blender; process until smooth. Serve immediately or freeze."
58,6600397,1,"In a pitcher, combine lime juice, simple syrup, rum and orange juice. Add a few dashes of bitters and some grated nutmeg to taste. Serve chilled over ice."
59,6594026,1,Place rhubarb in a large saucepan with water to cover. Bring to a boil over medium-high heat and cook until tender. Drain; mash or purée in a blender.
60,6594026,2,"Stir together rhubarb purée, sugar, orange juice concentrate, lemonade concentrate, gin, and water. Freeze."
61,6594026,3,Place scoops of the frozen mixture into serving glasses and fill the rest of the glass with lemon-lime soda.
62,6564096,1,"In a large punch bowl, combine apple juice, cranberry juice concentrate and orange juice. Stir until dissolved, then slowly pour in the ginger ale."
63,6564096,2,"Thinly slice the apple vertically, forming whole apple slices. Float apple slices on top of punch."
64,6562555,1,"Grate watermelon with a fork from the rind into a large bowl, leaving no large chunks. Stir water, pineapple, evaporated milk, and coconut into the grated watermelon. Add sugar; stir until dissolved. Squeeze lime juice into the watermelon mixture."
65,6562011,1,"In a pitcher, combine lime juice, water, sugar and honey. Stir until sugar is dissolved. Chill in refrigerator."
66,6599146,1,"In a blender, combine bananas, sugar, and 3 cups water. Blend until smooth. Pour into a large bowl and stir in pineapple juice. Blend in orange juice concentrate, lemonade concentrate, and 3 cups water. Divide into 3 plastic containers and freeze until solid, 4 hours to overnight."
67,6599146,2,"Remove from freezer 3 to 4 hours before serving. Using one portion at a time, place slush in a punch bowl and pour in 1 liter of ginger ale for each."
68,6583354,1,"Combine wine, brandy, triple sec, orange juice, and sugar together in a pitcher or bowl; add blackberries, strawberries, pineapple, apple, and ice and mix well. Refrigerate for 8 hours to overnight."
69,6583297,1,"Combine Sauvignon Blanc, pineapple juice, triple sec, and brandy in a large pitcher. Add lemon, pineapple, orange, and lime. Cover and refrigerate, 8 hours to overnight."
70,6583297,2,Stir in lemon-lime soda before serving.
71,6737735,1,"Combine wine, pineapple juice, vodka, triple sec, and simple syrup in a large bowl or pitcher. Refrigerate until chilled, about 1 hour."
72,6737735,2,"Stir the oranges, lemons, limes, and raspberries into the chilled sangria at least 30 minutes before serving. The longer the fruit marinates the better. Serve over ice."
73,6580270,1,"In a large punch bowl, combine raspberry lemonade concentrate, water and lime juice. Stir in lemon-lime soda and crushed ice. Garnish each glass with a fresh raspberry and a mint leaf."
74,6567691,1,"Preheat the oven to 350 degrees F (175 degrees C). Stud whole oranges with cloves, and bake in the preheated oven for 30 minutes."
75,6567691,2,"In a large saucepan, combine apple juice and cinnamon stick. Bring to a boil, reduce heat to medium, and simmer 5 minutes. Remove from heat, and stir in nutmeg, honey, lemon juice, and pineapple juice."
76,6567691,3,Serve hot in a punch bowl with clove-studded baked oranges floating on top.
77,6566556,1,"In a medium-size punchbowl, stir cranberry juice and sugar together until the sugar dissolves. Mix in ginger ale, rum, and lemon and lime slices. Serve over ice."
78,6587539,1,Pour 2 1/2 cups raspberry lemonade out of the bottle into a glass measuring cup.
79,6587539,2,"Pour watermelon vodka, coconut-flavored rum, and triple sec into the bottle; stir to combine. Fill bottle back to the top with raspberry lemonade from the measuring cup. Refrigerate until serving."
80,6580059,1,"Bring water to a boil in a pot with cardamom, cinnamon, cloves, and orange zest; stir in sugar until dissolved. Remove from heat and allow to steep 8 hours to overnight."
81,6580059,2,"Place raisins and almonds into a large saucepan. Strain sugar water into raisins, then pour in Muscatel, port, and brandy. Place over medium-high heat and cook until hot but not simmering."
82,6580059,3,Serve warm in a mug with some fruit and almonds in each cup.
83,6567441,1,Combine ginger ale and orange juice in a large punch bowl. Place sliced oranges and arrange the cherries on top of the orange slices.
84,6563066,1,"Combine cranberry juice, club soda, vodka, Champagne, and cranberries in a punch bowl."
85,6579315,1,"Place sherbet block in the center of a large punch bowl. Pour orange juice over top, followed by ginger ale and Champagne. Stir gently to mix liquids until top of punch begins to foam. Serve immediately."
86,6565243,1,"Mix pineapple juice, grenadine, sugar, lemon juice, and instant tea powder together in a 2-gallon container; stir to dissolve sugar and tea powder. Add enough water to fill the container; stir to combine."
87,6567820,1,"Mix bourbon, orange juice concentrate, lemonade concentrate, lemon juice, and maraschino cherry juice together in a pitcher until base is well mixed."
88,6567820,2,"Pour base into a punch bowl; add club soda, lemon slices, and maraschino cherry halves."
89,6584851,1,"Pour wine into glasses, and top off with club soda. Serve immediately."
90,6737554,1,"In a large punch bowl, combine cranberry juice concentrate, pink lemonade concentrate, limeade concentrate, white wine, club soda, and champagne. Garnish with lemon slices and fresh mint leaves."
91,6576148,1,"Combine mint and sugar in a large bowl. Stir in vodka and lemon juice. Cover and refrigerate lemonade, 30 minutes to 2 hours."
92,6576148,2,Strain lemonade into a pitcher. Fill six (6- to 8-ounce) glasses with crushed ice; pour lemonade over ice.
93,6650010,1,"Slice orange, lemon, and lime into thin rounds. Place the sliced citrus in a pitcher with apples, cherries, and pineapple."
94,6650010,2,"Pour in brandy and refrigerate for 2 hours or more. Chill the bottle of red wine, lemon-lime soda, and orange juice at the same time."
95,6650010,3,"Gently crush the fruits with a spoon, then stir in red wine, lemon-lime soda, and orange juice. Add additional brandy or orange juice to taste."
96,6574946,1,"Fill a cocktail shaker with ice. Add cranberry juice, vodka, schnapps, and lime juice. Cover and shake until the outside of the shaker has frosted. Strain into a chilled martini glass to serve."
97,6566456,1,"In a punch bowl, combine sugar, orange juice, and lemon juice; stir until sugar dissolves. Add cherries, triple sec, light rum, orange slices, lemon slices, and pineapple chunks. Refrigerate for 1 to 2 hours to allow flavors to blend."
98,6566456,2,"Just before serving, pour in carbonated water and add ice."
99,6564178,1,"Stir together apple cider and 4 tablespoons caramel ice cream topping in a 4-quart slow cooker until smooth. Cover and cook on Low for 3 to 4 hours, or on High for 1 1/2 to 2 hours."
100,6564178,2,"Mix together sugar, salt, and apple pie spice in a small shallow bowl. Pour remaining 2 tablespoons caramel topping into a small saucer."
101,6564178,3,"Dip the rims of 8 mugs or heatproof glasses into caramel topping, evenly coating the rim; then dip into spice mixture. Ladle hot cider into mugs. Add 3 tablespoons spiced rum to each mug and garnish with a cinnamon stick."
102,6563708,1,Pour chilled punch and soda into a punch bowl. Scoop out an entire half-gallon of ice cream and carefully slide into punch.
103,6605906,1,"Combine water, sugar, lemon juice, and cranberry juice in a large pitcher; stir until sugar dissolves. Serve in tall glasses over ice."
104,6566902,1,"In a large punch bowl combine whiskey, lemon juice, lemonade concentrate, and orange juice concentrate. Stir in lemon-lime soda and add a few drops red food coloring. Float orange and lemon slices for garnish."
105,6599708,1,"Mix boiling water, sugar, and lime-flavored gelatin together in a large bowl until sugar and gelatin are dissolved. Stir in pineapple juice."
106,6599708,2,"Pour pineapple juice mixture into a punch bowl. Add ginger ale, orange sherbet, orange drink, and gummy candy; stir well until blended."
